geom,value,id
POINT(-1.2656740161 51.7525636223),9050000,307606
POINT(-1.3102493532 52.05936879),33000000,309074
POINT(-0.9905089479 51.4556210196),7470000,313158
POINT(-1.2773993683 51.7522226304),1695000,317752
POINT(-1.6126203853 51.9586500574),910000,321387
POINT(-1.3566301345 52.0717149873),242000,333946
POINT(-1.4469571587 51.8145341068),307000,335547
POINT(-1.5126259463 51.7797860687),455000,343618
POINT(-0.9678184707 51.7381154135),540000,361281
POINT(-1.2407268465 51.6081360992),387000,365218
POINT(-1.2016424229 51.7130966388),338000,369685
POINT(-1.6010084681 51.7677835319),276908,371204
POINT(-1.525700574 51.7839577027),159998,374799
POINT(-1.1476565043 51.57104558),403000,382128
POINT(-1.500258697 51.7918363412),262506,387763
POINT(-1.2373635469 51.7432751424),620000,387773
POINT(-1.2696787808 51.771038923),1520000,388591
POINT(-1.6040795571 51.8590726209),465000,400293
POINT(-1.5102364986 51.7889472611),342000,402973
POINT(-0.9058739507 51.5371565507),1250000,403030
POINT(-1.2733631373 51.6063552455),378000,406729
POINT(-1.2066109832 51.7690927753),610000,420099
POINT(-1.1815710472 51.8979197742),364995,420995
POINT(-1.1775995969 51.8981258648),514950,421182
POINT(-1.4829565107 51.7833544723),481000,425546
POINT(-1.2241378108 51.7679150458),405000,426388
POINT(-1.1446633206 51.8944473859),327000,441649
POINT(-1.2343695494 51.6117634469),367000,443169
POINT(-1.2383333187 51.7622713392),698000,444205
POINT(-1.2381413681 51.7616227144),512500,446020
POINT(-1.2762650428 51.7869494035),1470000,449907
POINT(-1.2147785048 51.7920036974),655000,452026
POINT(-1.3345075557 52.0425425107),394995,460670
POINT(-1.2679628354 51.6045323989),387500,463719
POINT(-1.4881944935 51.7957494958),287500,463940
POINT(-1.3633456046 52.0663029813),317500,477175
POINT(-1.1330207526 51.7471015169),445000,489489
POINT(-1.2828622419 51.7512220489),700000,503003
POINT(-1.4992886212 51.7825441715),387500,504453
POINT(-0.9453514683 51.4759768572),408000,505728
POINT(-1.1886453179 51.7591244976),472000,512650
